連番,該当箇所,該当箇所イメージ,改善したい内容,改善案,備考,記入者,日付,改修難易度評価,実施優先順位,実施ステータス
1,マイページ,,贈った相手がダブり、メモリが多いものと少ないものがある,ユニークに、かつメモリが多いものを記録,,辻村,5/4,,,未着手
2,提案,,URLが間違っている,提案商品名で検索して、一番上にくる結果をURLとして提案,"提案URL：https://www.tamburins.com/jp/shop/detail/CHAIN-HAND-000-30mL/
正確なURL：https://www.tamburins.com/jp/item/1568791598/",辻村,5/4,,,未着手
3,提案,同上,購入可能なURLがクリックできて、該当ページに飛べるかどうかが見た目上わからない,ハイパーリンクのように、取り急ぎは水色の文字+アンダーバーでわかるように,,辻村,5/4,,,未着手
4,フィードバック,提案ページ,提案内容が良かったかどうかのFBボタン,Super Good or Good or Bad あるいは、5スターのレーティング,FB loopを考えた際に、メッシュが細かい方がよく思えるが、ユーザー評価では3段階が良いかなと。ただ、贈り物はその時、その時のシチュエーションにフィットしているかどうかの評価でもあるため、その点をどのようにFB loopとして回すかは検討が必要,辻村,5/4,,,未着手
5,提案,,2度目以降の提案の際に、最初の１ブロックが蛇足に感じる,自分に関する１ブロックを無くす,,辻村,5/4,,,未着手
6,提案,,URLに飛べるものの、ENNサービスページがその飛び先に変わってしまう,新しくタブを生成し、開く仕様に,,辻村,5/4,,,未着手
7,提案,同上,URLが１個目以外は間違っている,2・3個目のURLが間違っている,ECサイトは検索窓で商品名を検索した結果をURLとして共有するのが良いか？,辻村,5/4,,,未着手
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,